2017-11-29 00:42:05,"b'RT @M_P_Matthews: 4.9\xf0\x9f\x8c\x9f""I enjoyed every word of this sweet story..."" ""More than a short story..."" https://t.co/6geNMIHFyN #asmsg #cr4u #ian1\xe2\x80\xa6'"
2017-11-29 00:42:03,b'Get some rest!\n\nWave Premium Sleep Therapy Sound Machine for $22.49!\n\nhttps://t.co/M1MqsXSI9n https://t.co/Zu1hP5YcH6'
2017-11-29 00:42:03,"b""Don't we all? &lt;3 https://t.co/HHdPF8Jz8l #DogsofTwitter #DogMom #DogDad #Dogs #Dog #DogLover https://t.co/FdjuFj6I0r"""
2017-11-29 00:42:02,"b'RT @M_P_Matthews: ""...truly inspiring, and written from the heart."" https://t.co/AdId6tw0Kt #asmsg #cr4u #ian1 #KU https://t.co/N5Gqs8tdQq'"
2017-11-29 00:42:01,"b""@CheyenneWright I'm so sorry for the misdelivery! Our team would like to get this looked into. Please send us your\xe2\x80\xa6 https://t.co/6F9lPZy4mB"""
2017-11-29 00:42:01,b'RT @tonyakappes11: #amazondeal\nSCENE OF THE GRIND\nOnly $.99 \nA Killer Coffee Mystery Series\nhttps://t.co/9f3VcwGMuw\n#cozymystery #CoffeeLov\xe2\x80\xa6'
2017-11-29 00:42:00,b'$WMT pricing closer to $AMZN. Mobile taking center stage. @amazonecho sales in the millions. We looked at the trend\xe2\x80\xa6 https://t.co/Q5bB77pNex'
2017-11-29 00:41:59,b'RT @SierraKummings: Look at this gorgeous teaser the talented @ReneFolsom made for me \xf0\x9f\x98\x8d\xf0\x9f\x98\x8d Are you all ready for my upcoming release? https:/\xe2\x80\xa6'
2017-11-29 00:41:58,b'UNDER 15 DOLLARS! For this awesome #wonderwoman  shirt. Get it while its #hot\n\nBuyat - https://t.co/5OGZ31ZhYl \n\nRT\xe2\x80\xa6 https://t.co/BAWnz6QzWK'
2017-11-29 00:41:57,b'RT @premium_indie: RT Hop on a roller coaster ride!\n3rd Runner Up UK Novel Writing Competition 2017\n\xf0\x9f\x92\xa5 https://t.co/tWZ5yHcNxU\n#Mystery \n@ke\xe2\x80\xa6'
2017-11-29 00:41:55,"b'RT @charlesmilander: Twitter Expands Character Count to 280, Snapchat Upcoming Redesign and Algorithm\nhttps://t.co/HABpOeBFd5 Start making\xe2\x80\xa6'"
2017-11-29 00:41:53,b'RT @Tammysdragonfly: ARTHURIAN #FANTASY\n@cgray129\n\xe2\x9c\xbdSHADOWLAND\xe2\x9c\xbd\n100-5\xe2\x98\x85Reviews!!\nBeautifully Haunting &amp; Evocative\nhttps://t.co/W7yrdlpc72 htt\xe2\x80\xa6'
2017-11-29 00:41:52,"b'RT @KenFry10: RT ""Full of action, you can practically feel the bullets whizzing past your ears.""\n#Mustread #THRILLER ? https://t.co/Ad6OwuN\xe2\x80\xa6'"
2017-11-29 00:41:52,"b'RT @TheDavidKalis: ""This memoir is thoroughly engrossing, inspiring, funny, nerve wracking, surprising &amp; authentic""\nhttps://t.co/6jMlOKcfql\xe2\x80\xa6'"
2017-11-29 00:41:39,b'Amoretu Womens Sleepwear #Lingerie https://t.co/CIa1Ngaszy #sexy #panties https://t.co/zvfjILbIqA'
2017-11-29 00:41:38,b'I found a nice deal on Amazon. 25% OFF coupon O5Q9TJLH for Baking Sheet Set. https://t.co/6KxpkaVACC https://t.co/DcuX2GY5wX #giveaway'
2017-11-29 00:41:34,b'RT @charlesmilander: 11 Insightful Content Marketing Books From 2017\nhttps://t.co/i852aTvBzI Start making money on  socialmedia. https://t.\xe2\x80\xa6'
2017-11-29 00:41:31,b'Yard sale on Amazon - https://t.co/eNhv2G1ufD - 30% off with coupon K6C58CU9 for 3 pairs of garden gloves! https://t.co/2dTNzY2t2c #giveaway'
2017-11-29 00:41:26,b'I found a nice deal on Amazon. 25% OFF coupon O5Q9TJLH for Baking Sheet Set. https://t.co/X4QdZ8O1pp https://t.co/MY4BxupALb #giveaway'
2017-11-29 00:41:26,"b""Rachael_G I'm so sorry for the delay! We'd love to take a closer look into this but are unable to view your Amazon\xe2\x80\xa6 https://t.co/vE5JvXHo0C"""
2017-11-29 00:41:25,b'RT @ajassy: Today #AWS has made operating message brokers easy with Amazon MQ!\xc2\xa0 https://t.co/ykrpGdNtt4 #reInvent'
2017-11-29 00:41:25,"b""DavidJohnson I'm terribly sorry, David. Returns, replacements, and exchanges can be made here:\xe2\x80\xa6 https://t.co/99LnyL6Dpq"""
2017-11-29 00:41:24,"b""StephJoannaHo I'm sorry your order arrived in this condition. Let's explore your return or replacement options here\xe2\x80\xa6 https://t.co/VvOhxZZoJn"""
2017-11-29 00:41:23,"b""_soriyah I'm so sorry that you haven't received your package! Which carrier was assigned to deliver the package? Yo\xe2\x80\xa6 https://t.co/XgtdBjxK58"""
2017-11-29 00:41:23,"b""kopertop I'm sorry for the inconvenience! I'd like to have a member of our team take a look into this. Please share\xe2\x80\xa6 https://t.co/jPuHdWO1bT"""
2017-11-29 00:41:22,"b""lilyannablade I'm sorry for the trouble! Let's go over your available options here: https://t.co/VxHaLCCCmh"""
2017-11-29 00:41:22,"b""Eehhffeecckk I'm so sorry for how your ornaments arrived. Were they shipped and sold by Amazon or a Third-Party sel\xe2\x80\xa6 https://t.co/7O1QYviCGX"""
2017-11-29 00:41:19,b'RT @charlesmilander: 15 Rules for Dominating Online Search Results\nhttps://t.co/AjsC5yvvkq Start making money on  socialmedia. https://t.co\xe2\x80\xa6'
2017-11-29 00:41:18,"b""mark_sloane I'm so sorry for the continued issues! What is the current status of your order here: https://t.co/5y2WxYGaBK?  ^WT"""
2017-11-29 00:41:18,b'RT @jeffbarr: Amazon AppSync - Build data-driven apps with real-time and off-line capabilities - https://t.co/71cmEP3yyx #AWS #reinvent htt\xe2\x80\xa6'
2017-11-29 00:41:18,"b'""If you are blaming yourself for everything, please have some compassion for yourself."" https://t.co/V9hl8Gq8FX\xe2\x80\xa6 https://t.co/JtknvZJMVQ'"
2017-11-29 00:41:17,"b""RT @89thefilm: Was the Liverpool - Arsenal match the best end to a season there's ever been? @alandavies1, @LeeDixon2 and more discuss! #89\xe2\x80\xa6"""
2017-11-29 00:41:17,"b""HKrumena Uh-no! I am so sorry I hope we didn't ruin the surprise! You can find more about our frustration free pack\xe2\x80\xa6 https://t.co/NxwGarMLgx"""
2017-11-29 00:41:16,b'RT @ajassy: Today #AWS has made operating message brokers easy with Amazon MQ!\xc2\xa0 https://t.co/ykrpGdNtt4 #reInvent'
2017-11-29 00:41:14,"b""They're not just pretending at love in @JenniferGracen's BETWEEN YOU AND ME, available 11/28!\xe2\x80\xa6 https://t.co/IK85DGm6Zr"""
2017-11-29 00:41:14,b'RT @aarondbrinker: The Narrative of Benjamin White is back at No.1 in Hist. African Fiction in the US! Pick up your #free copy while you ca\xe2\x80\xa6'
2017-11-29 00:41:14,b'With all these new followers - I am driving lots of new readers to my blog ... https://t.co/vQSPu6DczC'
2017-11-29 00:41:13,b'RT @LisetteBrodey: I\xe2\x80\x99D RATHER BE GROWING GRAPES! From #romance author @JanRomes \xf0\x9f\x8c\xbf\xf0\x9f\x92\x96https://t.co/wDVTMQ5YTQ  \xf0\x9f\x8d\x87 \xf0\x9f\x92\x96 \xf0\x9f\x8d\x87 \xf0\x9f\x8c\xbf \xf0\x9f\x8d\x87 \xf0\x9f\x92\x96 \xf0\x9f\x8d\x87 \xf0\x9f\x8c\xbf \xf0\x9f\x8d\x87 \xf0\x9f\x92\x96 \xf0\x9f\x8d\x87 #RomCom ht\xe2\x80\xa6'
2017-11-29 00:41:11,"b'See the highly-rated eBook ""Stitch: Satan\'s Fury MC"" by L Wilder https://t.co/3R8nRULsgM https://t.co/gGQ9q1ArjW'"
2017-11-29 00:41:11,b'I found a nice deal on Amazon. 25% OFF coupon O5Q9TJLH for Baking Sheet Set. https://t.co/iFO3kGaKxV https://t.co/zbLb1sBf8e #giveaway'
2017-11-29 00:41:10,"b'RT @ShadowingTrump: THE news this week is the tax vote. Here\'s yet another crumbling foundation stone, writes @davidcayj. (Check out his ""T\xe2\x80\xa6'"
2017-11-29 00:41:07,b'RT @AmazonKindle: What thriller should you read based off of your sleuthing style? https://t.co/7bVbshxUnj'
2017-11-29 00:41:06,"b'""Hipsy never disappoints her readers."" https://t.co/OPYntqAF9w #kindle'"
2017-11-29 00:41:05,"b""RT @FatKidDeals: Vinyl Deals!\n\nOff the Wall - $10.75\nhttps://t.co/OAQt8rc9i7\n\nThriller - $19.98\nhttps://t.co/OfqoIGlRgT\n\nWhat's Going On -\xe2\x80\xa6"""
2017-11-29 00:41:03,b'Angela J. Ford-\xe2\x80\x9cThe Blended Ones\xe2\x80\x9d-Hundred Years of Salvation #fantasy #IARTG @aford21 https://t.co/8JY6e2VOTw'
2017-11-29 00:41:02,b'RT @thebesthomelife: \xf0\x9f\x8d\xb4Crock-Pot 7-Quart Oval Manual Slow Cooker\n\xe2\x8f\xa9 Only $19.00\xe2\x9d\x97\xe2\x8f\xaa\nUsually $39.99\n#crockpot #slowcooker #ad #CyberMonday #Deal\xe2\x80\xa6'
